id,sentiment
"12311_10",0.9266938358733744
"8348_2",0.1326905937589279
"5828_4",0.6361815538295894
"7186_2",0.5991701227929495
"12128_7",0.8274503379291842
"2913_8",0.6441795626645084
"4396_1",0.11714725999960603
"395_2",0.33547558445571507
"10616_1",0.02351498938292449
"9074_9",0.5668345406369512
"9252_3",0.2405969045610211
"9896_9",0.6444212408758878
"574_4",0.5507553509125149
"11182_8",0.612250457747969
"11656_4",0.4514923791838612
"2322_4",0.5658488264890589
"8703_1",0.32666101658939845
"7483_1",0.17012184108642003
"6007_10",0.7863876694537777
"12424_4",0.14124742867338433
"4672_1",0.038957721955455465
"10841_3",0.1332317197827659
"8954_7",0.4115721142146546
"7392_1",0.20492736523902594
"10288_8",0.7394264605348925
"5343_4",0.10547779461234398
"4950_1",0.04105217700321929
"9257_4",0.5749602225381957
"8689_3",0.2636629045213138
"4480_2",0.36957322547580196
"9286_10",0.8390296749247959
"12245_10",0.9459937508586357
"7529_7",0.7548768058633426
"4_4",0.3100520498342478
"5299_2",0.08803318852951167
"12077_8",0.6419163177173658
"10701_2",0.10647920469257496
"11579_1",0.11231689689811093
"10993_1",0.146209616482876
"8913_1",0.16238300499546635
"1350_3",0.33511978137065807
"3804_2",0.17616941472576872
"5025_3",0.3780376844058137
"5170_8",0.4221709709629749
"8225_8",0.8600014647960034
"6427_7",0.7486802013580519
"3165_3",0.5162258803500537
"7902_9",0.915806445688627
"8208_3",0.04543382180032233
"3577_8",0.7896221369595552
"4865_1",0.16859421949583717
"9063_3",0.3309982042152633
"1106_1",0.39691517759611056
"1117_9",0.8936914296866816
"1050_4",0.4563699970600898
"10755_9",0.5796617773375972
"2729_8",0.7346581737330143
"10072_10",0.8427568038295855
"2904_7",0.8237105031121408
"4584_2",0.5657302516077932
"189_4",0.5855372243566034
"6302_4",0.37451616804864474
"8138_9",0.6805650405752881
"1262_1",0.28815009521996265
"2199_10",0.8189928329726323
"6551_7",0.7319136515962306
"8082_7",0.4324557244796399
"4897_8",0.8781181665534865
"7360_1",0.1339968050250854
"11012_10",0.7766672262992446
"12046_1",0.4806659587348567
"2331_2",0.4209928096772158
"8961_9",0.7988185552524488
"751_7",0.511318424543155
"9884_10",0.7382049256857546
"10016_8",0.788688032561111
"8023_10",0.7522200024251502
"2628_1",0.09898242824309739
"5832_1",0.07524235653053414
"7302_1",0.12563018234449344
"4501_3",0.4044528707293419
"1121_7",0.5412414501412823
"8334_3",0.46589893133536253
"9789_10",0.43283622931129856
"4230_10",0.7378394869685082
"824_4",0.3074949563719408
"6803_9",0.7771968335351157
"3086_7",0.7623172730989591
"1135_8",0.8303935171888379
"10136_1",0.08171232470535714
"11129_3",0.09920274616247114
"2072_8",0.639854055280294
"9501_7",0.8428296309182705
"319_10",0.7588239379146877
"1693_7",0.8499430124219767
"10886_1",0.042607169329375555
"9406_8",0.6802371406043005
"10376_10",0.37124552700294355
"9902_1",0.1680240659219395
"9938_8",0.41367714193293476
"7080_9",0.6983865691656679
"11944_8",0.5929568434046708
"5249_1",0.09084821343764865
"9599_2",0.2802960238473832
"9620_1",0.2894619607950221
"11244_1",0.16061928119263374
"6841_10",0.8924664866513765
"10050_4",0.6760228400273963
"10512_9",0.8250729559580111
"11327_3",0.08222331386404189
"10681_8",0.7709377657603067
"808_3",0.48011043894140293
"546_7",0.9070595144155604
"10765_1",0.044647527324152864
"7189_9",0.512938589067491
"6005_9",0.7575946486595608
"11915_9",0.7147390531121172
"5740_10",0.7168969866875431
"7097_10",0.37192748875856474
"9573_10",0.6079912713255409
"5084_4",0.4784968377805151
"12332_7",0.5608817450739233
"8154_1",0.12803418100590178
"5610_1",0.3100426242185305
"5323_9",0.7109856316875013
"11034_8",0.6977341655602595
"3977_2",0.3053970607575559
"12380_7",0.30481027528618604
"1737_8",0.5383782462180733
"6030_9",0.6742679821491965
"5918_7",0.8391527386958028
"7061_9",0.6319402908897159
"266_8",0.8526345071092756
"1375_10",0.8193001956888463
"8648_3",0.09567345638899909
"10146_10",0.8696674113661877
"4578_10",0.7207473645660234
"4685_8",0.7742788671053985
"11843_9",0.6794548651178504
"5467_10",0.9019868831419208
"10140_10",0.7820680054434961
"7721_8",0.8514932446992595
"11208_10",0.31365487112096474
"1063_10",0.7737771387406238
"8260_10",0.5682872912563242
"3182_9",0.7986862793422007
"2797_8",0.7750552983466072
